Kind,Name,Essential,Cyclomatic,CyclomaticModified,CyclomaticStrict
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceKeysToIntTask.compute",1,6,6,8
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceKeysToIntTask.getRawResult",1,1,1,1
Constructor,"jsr166e.ConcurrentHashMapV8.MapReduceKeysToLongTask.MapReduceKeysToLongTask",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceKeysToLongTask.compute",1,6,6,8
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceKeysToLongTask.getRawResult",1,1,1,1
Constructor,"jsr166e.ConcurrentHashMapV8.MapReduceMappingsTask.MapReduceMappingsTask",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceMappingsTask.compute",1,10,10,12
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceMappingsTask.getRawResult",1,1,1,1
Constructor,"jsr166e.ConcurrentHashMapV8.MapReduceMappingsToDoubleTask.MapReduceMappingsToDoubleTask",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceMappingsToDoubleTask.compute",1,6,6,8
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceMappingsToDoubleTask.getRawResult",1,1,1,1
Constructor,"jsr166e.ConcurrentHashMapV8.MapReduceMappingsToIntTask.MapReduceMappingsToIntTask",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceMappingsToIntTask.compute",1,6,6,8
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceMappingsToIntTask.getRawResult",1,1,1,1
Constructor,"jsr166e.ConcurrentHashMapV8.MapReduceMappingsToLongTask.MapReduceMappingsToLongTask",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceMappingsToLongTask.compute",1,6,6,8
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceMappingsToLongTask.getRawResult",1,1,1,1
Constructor,"jsr166e.ConcurrentHashMapV8.MapReduceValuesTask.MapReduceValuesTask",1,1,1,1
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceValuesTask.compute",1,10,10,12
Public Method,"jsr166e.ConcurrentHashMapV8.MapReduceValuesTask.getRawResult",1,1,1,1
